key,source,relationship,name,wiki_link,notes
ottoperezmolina,https://en.wikipedia.org/wiki/Otto_P%C3%A9rez_Molina,S,Rosa Leal de Pérez,/wiki/Rosa_Leal_de_P%C3%A9rez,
ottoperezmolina,https://en.wikipedia.org/wiki/Otto_P%C3%A9rez_Molina,C,Unknown,N/A,2
vladimirputin,https://en.wikipedia.org/wiki/Vladimir_Putin,S,Lyudmila Putina,/wiki/Lyudmila_Putina,
vladimirputin,https://en.wikipedia.org/wiki/Vladimir_Putin,C,Katerina Tikhonova,/wiki/Katerina_Tikhonova,
vladimirputin,https://en.wikipedia.org/wiki/Vladimir_Putin,C,Maria,N/A,
enriquepenanieto,https://en.wikipedia.org/wiki/Enrique_Pe%C3%B1a_Nieto,S,Angélica Rivera,/wiki/Ang%C3%A9lica_Rivera,
enriquepenanieto,https://en.wikipedia.org/wiki/Enrique_Pe%C3%B1a_Nieto,S,Mónica Pretelini Sáenz,N/A,m. 1993; died 2007
enriquepenanieto,https://en.wikipedia.org/wiki/Enrique_Pe%C3%B1a_Nieto,C,Unknown,N/A,5
matteorenzi,https://en.wikipedia.org/wiki/Matteo_Renzi,S,Agnese Landini,/wiki/Agnese_Landini,
matteorenzi,https://en.wikipedia.org/wiki/Matteo_Renzi,C,Unknown,N/A,3
hellethorningschmidt,https://en.wikipedia.org/wiki/Helle_Thorning-Schmidt,S,Stephen Kinnock,/wiki/Stephen_Kinnock,
hellethorningschmidt,https://en.wikipedia.org/wiki/Helle_Thorning-Schmidt,C,Unknown,N/A,2
xijinping,https://en.wikipedia.org/wiki/Xijinping,S,Peng Liyuan,/wiki/Peng_Liyuan,
xijinping,https://en.wikipedia.org/wiki/Xijinping,S,Ke Lingling,N/A,m. 1979; div. 1982
xijinping,https://en.wikipedia.org/wiki/Xijinping,C,Xi Mingze,/wiki/Xi_Mingze,
xijinping,https://en.wikipedia.org/wiki/Xijinping,P,Xi Zhongxun,/wiki/Xi_Zhongxun,
xijinping,https://en.wikipedia.org/wiki/Xijinping,P,Qi Xin,/wiki/Qi_Xin,
xijinping,https://en.wikipedia.org/wiki/Xijinping,R,Qi Qiaoqiao,/wiki/Qi_Qiaoqiao,
xijinping,https://en.wikipedia.org/wiki/Xijinping,R,Deng Jiagui,/wiki/Deng_Jiagui,
xijinping,https://en.wikipedia.org/wiki/Xijinping,R,Zhang Lanlan,/wiki/Zhang_Lanlan,
xijinping,https://en.wikipedia.org/wiki/Xijinping,R,Ke Hua,/wiki/Ke_Hua,
xijinping,https://en.wikipedia.org/wiki/Xijinping,R,Xi Yuanping ,N/A,brother
xijinping,https://en.wikipedia.org/wiki/Xijinping,R,Qi Anan ,N/A,sister
